Scheme Name,Ministries/Departments,Description & Benefits,Tags
Refund of Subscriptions for the Construction Workers,West Bengal,"The “Refund of Subscriptions for the Construction Workers” scheme by the BOCW Welfare Board, Labour Department, West Bengal, is a welfare scheme that provides reimbursement of the entire subscription, with 8% interest, to the beneficiary at age 60, after 3 years if they choose to leave the Board, or","Construction Worker, Labour, Subscriptions Refund"
Pension Benefit,West Bengal,"The ""Pension Benefit'' scheme by the BOCW Welfare Board, Labour Department,West Bengal, is a welfare scheme that provides a monthly pension after completion of 60 years to the eligible registered member.","Building Worker, Construction Worker, Labour, Nominee, Pension"
Miscarriage Benefit,West Bengal,"The ""Miscarriage Benefit'' scheme by the BOCW Welfare Board, Labour Department,West Bengal, is a welfare scheme that provides financial benefits for miscarriage up to two times in a lifetime to the eligible female beneficiaries or the wives of male beneficiaries.","Building Worker, Construction Worker, Labour, Miscarriage, Women"
Hostel Scheme for Disabled Students,Madhya Pradesh,"The objective of the scheme is to provide hostel facilities to such disabled students who are taking admission in class 11th and above on a regular basis and in case hostel facilities are not available in the schools/colleges, by renting private buildings.","Disabled Student, Higher Education, Hostel, PwD, Rental Assistance"
Hostel Facility for Students Availing Education in Delhi,Madhya Pradesh,"The objective of the scheme is to provide facilities for residential and other facilities such as water, reimbursement of electricity expenditure, scholarship etc. for scheduled caste students of Madhya Pradesh studying in higher institutions located in Delhi.","Delhi, Higher Education, Hostel Facility, Scheduled Caste, Scholarship, Student"
Financial Assistance for the Education of Children of the Beneficiary (O.B.O.C.W.W.B),Odisha,"The “Financial Assistance for the Education of Children of the Beneficiary” scheme by the BOCW Welfare Board, Labour Department, Odisha, is a welfare scheme that provides financial assistance for education to the children of the registered member of the board for a period of one year or more.","Building Worker, Construction Worker, Education, Labour, Scholarships, Study"
Pathari Kshetr Talab Nirman Aadharit Matsya Paalan ki Yojana,Bihar,"The ""Pathari Kshetr Talab Nirman Aadharit Matsya Paalan ki Yojana"" aims to promote fisheries by constructing ponds and setting up related supporting units in plateau-dominated districts. The initiative is designed to create new employment opportunities and provide a means of livelihood for farmers.","Financial Assistance, Fish Farmer, Opportunities, Ponds"
Dr. Bhim Rao Ambedkar Meritorious Student Award Scheme,Madhya Pradesh,"This scheme awards special prizes to meritorious Scheduled Caste students who secure the highest marks in the Class 10th and 12th board examinations conducted by the Board of Secondary Education, CBSE, and ICSE in the state.","Award, Bhimrao Ambedkar, Meritorious Student, Prize, Scheduled Caste"
Mukhyamantri Samekit Chaur Vikas Yojana,Bihar,"The ""Mukhyamantri Samekit Chaur Vikas Yojana"" under Seven Nishchay-2, aims to develop undeveloped and unutilized private land in Bihar for fish-based integrated aquaculture. With a budget of ₹2972.79 lakh, the scheme targets the sustainable development of 600 hectares of Chaur land, enhancing fish.","Employment, Farmers, Financial Assistance, Fish Production"
Death Benefit (O.B.O.C.W.W.B),Odisha,"The ""Death Benefit'' scheme by the BOCW Welfare Board, Labour and Employment Department, Odisha, is a welfare scheme that provides financial assistance to the nominee(s) of the beneficiary as death benefit.","Accidental Death, Building Worker, Construction Worker, Death Benefit, Labour, Normal Death"
Matsya Pokhari Yojana,Odisha,"The ""Machha Chasa Pain Nua Pokhari Khola Yojana (Matsya Pokhari Yojana)"" aims to boost fish production in Odisha by creating new water bodies through pond excavation. It targets income generation & employment via freshwater aquaculture. Subsidies are available for pond areas between 0.2 to 2 hectare","Aquaculture, Fish Farmer, Pond, Subsidy"
Disability Benefit Who Met With an Accident at Worksite,Tripura,"The ""Disability Benefit Who Met With an Accident at Worksite"" was launched by the Tripura Building & Other Construction Workers Welfare Board, Labour Dept. The scheme aims to provide financial assistance to registered construction worker who suffer from disabilities due to accident at their worksite","Accident, Construction Worker, Disability, Financial Assistance"
Rehabilitation of Cured Leprosy Persons: Assistance to Parents,Odisha,"The scheme aims to provide financial assistance to the parents of Cured Leprosy Persons in order to support such parents in successfully bringing up their children against societal intolerance, stigma, discrimination and violence.","Guardians, Leprosy Persons, Parents, Rehabilitation"
Rehabilitation of Cured Leprosy Persons: Marriage Incentives & Support,Odisha,The “Marriage Incentives & Support” scheme is designed to assist Cured Leprosy Persons who face social and economic challenges in arranging marriages for their daughters.,"Daughter, Girl, Leprosy Persons, Marriage, Rehabilitation, Women"
Scheme for Funeral Assistance in Case of Death of Registered Construction Worker,Tripura,"The ""Scheme for Funeral Assistance in Case of Death of Registered Construction Worker"" was launched by the Tripura Building and Other Construction Workers Welfare Board, Labour Department Tripura. The scheme aims to provide funeral assistance in case of the death of registered construction workers.","Construction Worker, Financial Assistance, Funeral Assistance"
Scheme for Financial Assistance in Case of Death,Tripura,"The ""Scheme for Financial Assistance in Case of Death"" scheme was launched by the Tripura Building and Other Construction Workers Welfare Board, Labour Department Tripura. The scheme aims to provide financial assistance to the nominee or spouse or dependent of the deceased registered beneficiary.","Construction Worker, Deceased, Financial Assistance"
Sindhu Darshan Scheme in Ladakh,Madhya Pradesh,"The objective of this scheme is to provide financial assistance to the pilgrims of the state going on Sindhu Darshan pilgrimage. Under this scheme, the State Government will reimburse 50% of the total expenses incurred during the pilgrimage, up to a maximum of ₹10,000/- per pilgrim.","Financial Assistance, Ladakh, Pilgrim, Sindhu Darshan"
Kalyani Sahayata Yojana (Madhya Pradesh Labor Welfare Board),Madhya Pradesh,"Under this scheme, financial assistance of ₹6,000/- every six months (totaling ₹12,000/- per year) will be provided to the wife of a deceased worker employed in an industrial unit or establishment in Madhya Pradesh.","Deceased Worker, Financial Assistance, Organized Sector, Widow"
Disability Relief - Telangana,Telangana,"The ""Disability Relief"" scheme was launched by the Telangana Building & Other Construction Workers Welfare Board, LET&F (Labour) Dept. Telangana aimed at providing financial support to registered building & other construction workers who suffer from total or partial permanent disabilities.","Accident, Construction Worker, Disability Relief, Financial Assistance"
Chief Minister Higher Education Scholarship Scheme,Rajasthan,"The scheme was launched by the Higher Education Department, Government of Rajasthan. This scheme aims to enhance educational levels and provide scholarship to children from low-income families.","Higher Education, PwD, Scholarship, Student"
"The Tripura Tribal Folk Arts & Cultural (Financial Assistance) Rules, 2022",Tripura,"The Tripura Tribal Folk Arts & Cultural (Financial Assistance) Scheme, 2022, is a government initiative to provide financial assistance to the government and non-government organizations to promote & preserve the traditional culture programme, exhibition in different tribal communities, & folk songs","Culture, Financial Assistance, Folk Arts, NGO"
Natural Death Relief - Telangana,Telangana,"The scheme is effective from 01.05.2018 and aims to support the families of deceased workers with financial assistance of ₹1,00,000/- to help cover funeral expenses and provide additional relief. The Telangana Government has enhanced the relief amount under the welfare scheme ""Natural Death"".","Construction Worker, Financial Assistance, Natural Death"
Urban Health Kiosk Scheme (P.B.O.C.W.W.B),Punjab,"The ""Urban Health Kiosk Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that aims to provide primary health facilities to the construction workers & their families in urban health kiosks run by Punjab Health Society in slum areas.","Building Worker, Construction Worker, Health, Labour, Silicosis Diseases"
Chief Minister's Krishi Rinn Yojana,Arunachal Pradesh,The Government of Arunachal Pradesh has introduced The Chief Minister's Krishi Rinn Yojana (CMKRY) with the aim of providing a zero interest crop loan facility to farmers of the state to enable them easy access to formal credit through banking channels.,"Crop Loan, Farmers, Zero Interest"
Vidya Scheme,Arunachal Pradesh,"Vidya scheme under the Education Department, Government of Arunachal Pradesh is a scheme where a girl child who is studying in Class VI is provided with an incentive of Rs. 10,000/- as fixed deposit in SBI in the name of individual girl child till she completes Class – XII.","Elementary Education, Financial Assistance, Girl Student, Secondary Education"
Tirth Barat Yojana,Chhattisgarh,"The objective of this scheme is to provide government assistance for pilgrimage to the senior citizens & Persons with Disabilities (PwDs), who are residents of Chhattisgarh, to visit one or more of the various designated pilgrimage sites outside the state, once in their lifetime.","BPL, Pilgrim, Pilgrimage, PwD, Senior Citizen, Tirth Yatra"
Reimbursement of Expenditure for Occupational Diseases (P.B.O.C.W.W.B),Punjab,"The ""Reimbursement of Expenditure for Occupational Diseases'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides reimbursement of expenditure incurred by the beneficiaries and their dependents for the treatment of 16 dangerous ailments.","Building Worker, Construction Worker, Health, Labour, Occupational Diseases, Operation"
Medical Assistance (Karmika Arogya Bhagya) (K.B.O.C.W.W.B),Karnataka,"The ""Medical Assistance (Karmika Arogya Bhagya)'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial assistance to registered construction workers and their dependents for hospitalisation expenses in recognised hospitals.","Building Worker, Construction Worker, Hospitalisation, Labour, Medical Assistance"
"Denture, Spectacles & Hearing Aid Scheme (P.B.O.C.W.W.B)",Punjab,"The ""Denture, Spectacles & Hearing Aid Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides financial aid to beneficiary construction workers & their families for denture, spectacles & hearing aid.","Building Worker, Construction Worker, Denture, Hearing Aid, Labour, Spectacles"
Maternity Benefit Scheme (P.B.O.C.W.W.B),Punjab,"The ""Maternity Benefit Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides financial assistance to the female construction workers and spouse of the male workers to support childbirth-related expenses maximum for two living children.","Building Worker, Construction Worker, Labour, Maternity Benefit, Pregnancy, Women"
Thayi Magu Sahaya Hastha (K.B.O.C.W.W.B),Karnataka,"The ""Thayi Magu Sahaya Hastha'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial assistance to registered women construction workers for pre-school education and nutritional support of their child for up to 3 years after delivery.","Building Worker, Child, Construction Worker, Education, Labour, Pre-school, Women"
National Family Benefit Scheme- Bihar,Bihar,"Under this scheme, one-time financial assistance of ₹20,000/- is provided to the bereaved family in the case of the sudden death of the earning member (breadwinner) of the family, provided the family is living below the poverty line (BPL).","BPL, Breadwinner, Death, Family, Financial Assistance"
Family/ Widow Pension Scheme (P.B.O.C.W.W.B),Punjab,"The ""Family/ Widow Pension Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides pension to the spouse of a registered construction worker in the event of his/ her death.","Building Worker, Construction Worker, Family Pension, Labour, Widow Pension"
Old Age Pension Scheme,Uttarakhand,The Department of Social Welfare of the Uttarakhand government provides a monthly pension to those who are above 60 years of age and living below the poverty line.,"Financial Assistance, Old Age, Pension Scheme, Welfare"
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,Bihar,"The objective of this scheme is to strengthen the economic condition of minority Muslim abandoned/divorced women and make them self-dependent by providing financial assistance of ₹25,000/-.","Abandoned Woman, Divorced Woman, Financial Assistance, Minority, Muslim Mahila"
Financial Assistance to Traditional Artisans (Panchavrutthi Scheme),Karnataka,"The ""Financial Assistance to Traditional Artisans (Panchavrutthi Scheme)"" provides financial assistance to traditional artisans of the Vishwakarma community in Karnataka. The scheme aims to help these artisans purchase modern tools & upgrade their technological skills to enhance their trade.","Artisans, Financial Assistance, Loan, Subsidy, Vishwakarma Communities"
Distribution of Nuclear Poly Hedrosis Virus,Tamil Nadu,"The ""Distribution of Nuclear Poly Hedrosis Virus"" scheme provides subsidies for the distribution of Nuclear Poly Hedrosis Virus (NPV) to farmers raising seed farms with Pulses crops.","Agriculture, Farmer, NPV, Nuclear Poly Hedrosis Virus, Subsidy"
Subsidy Scheme for Self-help Groups of Minorities,Karnataka,"The ""Subsidy Scheme for Self-help Groups of Minorities"" aimed at empowering minority women by providing financial support to Self-Help Groups (SHGs). The scheme offers a subsidy to SHGs engaged in various self-employment activities, promoting economic self-reliance among minority women.","Self-employment, SHGs, Subsidy"
Kaimagga Vikasa Yojana - Karnataka,Karnataka,"The “Kaimagga Vikasa Yojana” aims to sustain and develop the handloom weaving skills of existing weavers and to attract young talent to the industry, thus preserving the rich cultural heritage of handloom weaving in Karnataka.","Handloom, Skill Development, Subsidy, Weaver"
Arivu Education Loan Scheme,Karnataka,"The ""Arivu Education Loan Scheme,"" launched by the Minorities Welfare Department, Government of Karnataka, and implemented by the Karnataka Minorities Development Corporation, offers loans to students pursuing professional courses like MBBS, B.E., B.Tech., MBA, MCA, LLB, and others in various fields","Loan, Minority Community, Student"
Distribution of Soil Health Card,Tamil Nadu,"Under the “Distribution of Soil Health Card” scheme, Soil health cards will be distributed to all the farmers who have offered the soil sample for testing by paying a prescribed fee of ₹5/- each for Macro and Micronutrient testing.","Agriculture, Farmer, Soil Health Card"
Parwarish Yojana,Bihar,"Under this scheme, a monthly financial assistance of ₹1,000/- is provided to orphans and destitute children, children suffering from HIV/AIDS/Visible Deformities (Grade II), or children of parents suffering from these conditions, who are between the ages of 0 and 18 years.","AIDS, BPL, Destitute Children, Financial Assistance, HIV, Leprosy, Orphan Children"
Antarjatiye Vivah Protsahan Anudan Yojana,Bihar,"The objective of this scheme is to end the caste system in the state and encourage inter-caste marriages by providing financial assistance to couples. Under this scheme, eligible beneficiaries will receive a one-time grant of ₹1,00,000/-. This scheme is fully funded by the Government of Bihar.","Antarjatiye, Financial Assistance, Inter-caste Marriage, Vivah"
Grant for Purchase of Bicycle (BBOCWWB),Bihar,"The scheme is implemented by the Bihar Building & Other Construction Workers Welfare Board. Under this scheme, financial assistance of up to ₹3,500/- is provided to registered construction workers who have been members of the Board for at least one year, for purchasing a bicycle.","Bicycle, Building Worker, Construction Worker, Financial Assistance, Labour, Organized Workers"
Distribution of Certified Seeds of Maize,Tamil Nadu,"The ""Distribution of Certified Seeds of Maize"" scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu offers a subsidy to maize-growing farmers in specific districts of the state, providing financial assistance for purchasing certified maize seeds.","Agriculture, Farmer, Maize, Seed Distribution, Subsidy"
Distribution of Gypsum-Oil Seeds,Tamil Nadu,"The ""Distribution of Gypsum-Oil Seeds"" scheme provides a subsidy on the cost of gypsum material and transportation cost, to farmers who produce and supply Foundation and Certified Class seeds.","Agriculture, Farmer, Gypsum, Oil Seeds, Seed Distribution, Subsidy"
Accident Assistance (K.B.O.C.W.W.B),Karnataka,"The ""Accident Assistance'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that aims to provide compensation of a certain amount both from the employer and the Board.","Accident, Building Worker, Construction Worker, Death Benefit, Disability, Labour"
Mukhyamantri Alpsankhyak Rozgar Rinn Yojana,Bihar,"The objective of this scheme is to provide loans of up to ₹5,00,000/- at a simple annual interest rate of 5% to youths from minority communities (Muslim, Sikh, Christian, Buddhist, Jain, and Parsi) for generating employment.","Employement, Loan, Minority, Youth"
Production Of Certified Seeds,Tamil Nadu,"The ""Production of Certified Seeds"" scheme, offers a subsidy to farmers for producing certified seeds of Pulses.","Agriculture, Certified Seeds, Farmer, Production Of Seeds"
Biju Pucca Ghar Yojana,Odisha,The government of Odisha is committed to providing Pucca houses to all the rural households living in Kutcha houses. State Government with a view to achieving this objective launched “Biju Pucca Ghar Yojana (BPGY)” during the year 2014.,"Biju, House, Pucca Ghar"
Pucca Ghar Yojana (Mining),Odisha,"The government of Odisha is committed to providing ""Pucca Houses"" to all the eligible kutcha households in all the mining-affected Blocks of nine mineral-bearing Districts.","Ghar, Housing, Mining, Odisha, Pucca"
Generator Subsidy-Tamil Nadu,Tamil Nadu,The “Generator Subsidy” scheme provides a 25% subsidy on the cost of generator sets up to 125 KVA capacity for manufacturers in Tamil Nadu.,"Agriculture, Generator, Manufacture, Subsidy"
Temporary Disability (Hospitalization) Relief Scheme,Andhra Pradesh,"The ""Temporary Disability (Hospitalization) Relief Scheme"" welfare scheme by the Andhra Pradesh Building and Other Construction Workers Welfare Board offers financial assistance to registered construction workers who face temporary disability due to accidents or diseases.","Construction Worker, Financial Assistance, Temporary Disability"
Post Matric Merit Scholarship,Mizoram,The objective of the Scheme is to provide financial assistance to permanent residents of Mizoram States securing 60% marks in Board/University Examination. The scheme is 100% funded by the State Plan Fund.,"Merit, Post Matric, Scholarship, Student"
Panchayat Kalyan Kosh,Uttar Pradesh,"The scheme aims to provide financial assistance to the families or dependents of Gram Pradhans, Kshetra Panchayat Pramukhs, Zila Panchayat Presidents, and all members of the three-tier Panchayat elected as representatives of the people, in the event of their death while in office.","Death, Financial Assiatance, Panchayat, Panchayat Representative"
Tailoring Training To Scheduled Caste & Backward Classes Widows/Destitute Women/Girls,Haryana,The aim of the scheme is to enable Scheduled Caste Widows/girls/destitute women for self-employment. A stipend of Rs.600/- P.M. and raw material costing Rs.300/- per month per trainee is given to a trainee for getting training from the nearest Kalyan Kendar run by this department.,"Backward Class, Destitute Women, Haryana Scheme, Scheduled Caste, Tailoring Training, Training, Widows"
Incentive for the SC Widow Re-Marriage,Karnataka,"Under this scheme, the Social Welfare Department, Government of Karnataka gives incentives to the remarried widows belonging to SC Community. The incentive amount is ₹ 3 Lakh.","Incentive, Marriage, Re-marriage, SC, Widow, Widow"
Mukhya Mantri Vivah Shagun Yojna,Haryana,"This scheme is being implemented to honor the girl child and to ensure that the girls from poor families and daughters of widows/destitute women, sports women & orphan girl children, are married gracefully. For this purpose, grant is given to eligible persons to cover marriage expenses.","Financial Assistance, Marriage, Shagun, Vivah, Welfare"
Summer Internship Programme (PRL),Ministry Of Science And Technology,"The Physical Research Laboratory (PRL) Summer Internship Programme aims to provide a platform for highly motivated students & teachers to interact with PRL’s scientists, gaining exposure to the lab’s research areas and facilities. Participants will work on projects in fundamental science, technology","Graduation, Internship, Post-Graduation, Research, Students, Teachers"
Marketing Assistance Scheme,Karnataka,"The ""Marketing Assistance Scheme"" aims to empower SC leather artisans by enabling them to market their products through Lidkar Leather Emporia under the Lidkar brand. It helps artisans avoid exploitation by private dealers and provides regular procurement of their products based on demand.","Artisans, Financial Assistance, Leather, Marketing"
Immediate Assistance in Case of Accident to the Beneficiary,Manipur,"The ""Immediate Assistance in Case of Accident to the Beneficiary"" scheme was launched by the Manipur Building and Other Construction Workers' Welfare Board & aims to provide financial assistance to registered building workers and their families in case of worker accidents, disabilities, or death.","Accident, Construction Worker, Death, Financial Assistance, Person With Disability"
Dr. Babu Jagjivan Ram Living cum work shed Construction Scheme,Karnataka,"The ""Dr. Babu Jagjivan Ram Living cum work shed Construction Scheme"" provides financial assistance to houseless leather artisans for constructing Living cum Work Sheds through the Rajiv Gandhi Rural Housing Corporation.","Artisans, Financial Assistance, Housing, Subsidy"
Skill Upgradation Program Karnataka,Karnataka,"The ""Skill Upgradation Program Karnataka"" scheme aims to upgrade the skills of artisans in leather technology, footwear/leather goods making, and designing by sending them for advanced training at renowned institutions like CFTI Chennai, CLRI, and Karnataka Institute of Leather Technology.","Skill Development, Stipend, Training"
Vocational Training to the Dependents,Andhra Pradesh,"The ""Vocational Training to the Dependents"" provides a residential skill training program for 15,000 dependents of registered construction workers. The program focuses on enhancing the employability of dependents through training in various trades.","Construction Worker, Dependents, Financial Assistance, Vocational Training"
Natural Death Relief (MBOCWWB),Manipur,"The ""Natural Death Relief"" scheme launched by the Manipur Building and Other Construction Workers' Welfare Board provides financial assistance to the kith and kin of a registered building worker in the event of the worker's natural death.","Construction Worker, Death, Financial Assistance, Kith And Kin"
15 Days Skill Up-gradation Training,Andhra Pradesh,"The ""15 Days Skill Up-gradation Training"" scheme aims to provide skill training, safety, and hygiene education for building and other construction workers registered with the Andhra Pradesh Building and Other Construction Workers Welfare Board.","Construction Worker, Skill Upgradation, Stipend, Training"
Incentive for the Intra Caste Marriage within Scheduled Caste Community,Karnataka,The Karnataka Social Welfare Department provides an incentive to promote intra-caste marriages within different sub-castes of Scheduled Castes (SC) and Scheduled Tribes (ST).,"Financial Assistance, Inter-Caste, Marriage, Scheduled Castes"
Medical Expenses for Treatment of Major Ailments of a Beneficiary,Manipur,"The Manipur Building and Other Construction Workers' Welfare Board provides financial support for the treatment of serious illnesses such as Tuberculosis, Cancer, Heart Disease, Kidney Disease, and more, for building workers and their family members.","Construction Worker, Disease, Financial Assistance, Medical Treatment"
Workers In Case Of Permanent Disablement-JKBOCWWB,Jammu and Kashmir,"The ""Workers In Case of Partial Permanent Disablement"" scheme by the JKBOCW Welfare Board, Labour Department, Jammu & Kashmir, provides financial assistance to registered Building and Other Construction (BOC) workers in the case of permanent disablement.","Building Worker, Construction Workers, Financial Assistance, Labour, Permanent Disablement"
District Central Cooperative Banks and through its Branches: Small Road Transport Operators Loan (SRTO Loan),Tamil Nadu,"The scheme aims to provide financial support to small-scale road transport operators through loans up to ₹10,00,000/- with 13% rate of interest.","Financial Assistance, Infrastructure"
District Central Cooperative Banks and through its Branches: For Jewel Loan,Tamil Nadu,"The scheme allows eligible individuals to obtain loans by pledging their gold and jewelry. The maximum loan amount is ₹1,00,000/- with an interest rate of 12%, subject to changes as per bank policies.","Banking, Jewel Loan"
"Scholarships to Students Studying in Central Government Institution like IIT, IIM, IIIT, NIT and Central Universities",Tamil Nadu,"The scholarship provides financial assistance to students from Tamil Nadu's BC, MBC, and DNC communities pursuing UG/PG courses at premier Central Government institutions like IITs, IIMs, IIITs, NITs, and Central Universities.","Education, Minority Welfare, Scholarship, Student Finance"
Book Bank Scheme: I,Tamil Nadu,"The scheme provides free textbooks to Adi Dravidar/Tribal students pursuing professional courses like Medical, Engineering, Law, MBA, and others, which must be returned to the library after course completion.","Books, Education, Students, Tribal Welfare"
Assistance for Funeral Rites,Tamil Nadu,"The “Assistance for Funeral Rites” scheme provides ₹500/- to support SC/ST families with low income, in covering funeral expenses, ensuring that they can conduct funeral rites for their deceased ones.","Death Assistance, Funeral Rites, Tribal Welfare"
Primary Cooperative Agriculture and Rural Development Bank: For Handloom and Other Non Farm Sector Activities,Tamil Nadu,"The scheme offers loans for handloom and other non-farm sector activities, with a maximum loan amount of up to ₹2,00,000/- at an interest rate of 11% to 12.5%. The scheme is designed to support farmers engaged in non-farm activities.","Farmer, Financial Assistance, Handloom Loans, Non-farm Sector Activities"
Educational Assistance for Medical and Engineering Courses,Maharashtra,The Maharashtra Building and Other Construction Workers Welfare Board provides educational assistance to the children and spouses of registered construction workers pursuing medical and engineering degrees.,"Construction Worker, Engineering Course, Financial Assistance, Medical, Student"
Educational Assistance to the 10th to 12th Students,Maharashtra,"The Educational Assistance to the 10th to 12th Students scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra.","Construction Worker, Financial Assistance, Labour, Scholarship, Student"
Primary Cooperative Agriculture and Rural Development Bank: For Fishing Boats (Catamarans),Tamil Nadu,"The scheme provides loans to farmers for purchasing fishing boats (Catamarans) ranging from ₹15,000/- to ₹60,000/- with an applicable interest rate subject to change.","Agriculture, Catamarans, Farmer, Fishing Boats, Loan"
Children Education Allowance,Nagaland,"The scheme is implemented by the Nagaland Building and Other Construction Workers' Welfare Board, Under this scheme, children of registered beneficiaries studying from Nursery to Class 10 are provided ₹500/- per month per child as education assistance.","Children, Construction Worker, Financial Assistance, Labour"
Marriage Assistance (JKBOCWWB),Jammu and Kashmir,"The ""Marriage Assistance"" scheme by the JKBOCW Welfare Board, Labour Department, Jammu & Kashmir, provides financial aid to registered construction workers for the marriage of their dependents, including up to three marriages for their sons, daughters, siblings, or themselves.","Construction, Financial Assistance, Labour, Marriage, Worker"
District Central Cooperative Banks and through its Branches: For Women Entrepreneurs,Tamil Nadu,"The scheme aims to provide loans of up to ₹5,00,000/- at an interest rate of 12% (subject to change) for women entrepreneurs through District Central Cooperative Banks and its branches.","Business, Entrepreneurs, Loan, Women"
Indira Gandhi National Disability Pension Scheme (Maharashtra),Maharashtra,"The ""Indira Gandhi National Disability Pension Scheme (Maharashtra)"" is implemented by the Social Justice & Special Assistance Dept., Govt. of Maharashtra. The differently-abled individuals aged 18 to 65 years with a disability of 80% and above are eligible to receive a pension of ₹600/- per month.","Disability, Handicapped, Pension, PwD"
Providing Mini Tractor and its Sub Parts to the Self Help Group of Scheduled Castes,Maharashtra,"The ""Providing Mini tractor and its sub parts to the Self Help Group of Scheduled Castes"" is a scheme by the Govt. of Maharashtra. This scheme aims to improve the financial condition of the scheduled castes and Nav-Buddhists Self Help Group.","SC, Scheduled Caste, Self Help Group, SHG, Social Welfare, Subsidy, Tractor"
Mukhyamantri Yuva Karya Prashikshan Yojana,Maharashtra,"The Mukhyamantri Yuva Karya Prashikshan Yojana scheme was launched by the Department of Skill, Employment, Entrepreneurship and Innovation to enhance candidates' employability through practical training with entrepreneurs with a budget of ₹5,500 crore.","Specially-Abled Person, Stipend, Student, Vocational Training"
Ramai Awas (Gharkul) Scheme for SC & Nav-Buddha (Urban and Rural),Maharashtra,"The scheme ""Ramai Awas (Gharkul) Scheme for SC & Nav-Buddha (Urban and Rural)"" is a housing scheme by the Department of Social Justice & Special Assistance of the Government of Maharashtra. The scheme aims to raise the standard of living of the Scheduled Caste and Nav-Buddha communities.","Housing, Nav Buddha, Rural, Scheduled Caste, Urban"
Indira Gandhi National Widow Pension Scheme (Maharashtra),Maharashtra,"""Indira Gandhi National Widow Pension Scheme (Maharashtra)"" is a scheme by the Social Justice & Special Assistance Dept, Govt of Maharashtra. In this scheme, widows aged 40 to 65 years who are from a BPL family receive a pension of ₹600/- per month.","Pension, Widow, Woman"
Term Loan Scheme,Maharashtra,"The scheme aims to uplift the economically disadvantaged Charmakar community (Dhor, Chambhar, Holar, Mochi, etc.) by promoting their educational, economic, and social development, helping them gain a respectable place in society.","Below Poverty Line, BPL, Employment, Loan"
Financial Assistance to dependents in Case of Death of Registered Workers(JKBOCWWB),Jammu and Kashmir,"The scheme “Financial Assistance to Dependents in Case of Death of Registered Workers” is administered by the Building and Other Construction Workers Welfare Board, Jammu and Kashmir. In this scheme, ₹2,00,000/- is provided to the dependents in case of the death of the registered worker.","Building, Construction, Death, Financial Assistance, Labour, Worker"
Mukhyamantri Bagwani Mission: Papita Vikas Yojana,Bihar,The Scheme aims to expand plantain cultivation across all districts in Bihar. Farmers can receive subsidies for up to 10 acres and access high-quality tissue-cultured plants for cultivation.,"Agriculture, Financial Assistance, Papaya Development, Plant Supply, Subsidy"
Mukhyamantri Bagwani Mission: Anjeer Vikas Yojana,Bihar,The Scheme aims to expand plantain cultivation across all districts in Bihar. Farmers can receive subsidies for up to 10 acres and access high-quality tissue-cultured plants for cultivation.,"Agriculture, Fig Development, Financial Assistance, Plant Supply, Subsidy"
Mukhyamantri Bagwani Mission: Kela Vikas Yojana,Bihar,The Scheme aims to expand plantain cultivation across 15 districts in Bihar. Farmers can receive subsidies for up to 10 acres and access high-quality tissue-cultured plants for cultivation.,"Agriculture, Banana Development, Financial Assistance, Plant Supply, Subsidy"
Nariwal Paudha Vitaran Yojana,Bihar,"The scheme aimed at promoting coconut cultivation in non-traditional areas like Bihar. Under this scheme, farmers and urban residents can obtain coconut saplings at a subsidized rate to encourage widespread plantation and utilization.","Agriculture, Coconut Development, Financial Assistance, Plant Supply, Subsidy"
Cluster Mei Bagwani Ki Yojana,Bihar,"The scheme aims to promote cluster-based cultivation of selected crops, including guava, amla, lemon, bael, lemongrass, papaya, marigold, dragon fruit, and strawberry.","Agriculture, Financial Assistance, Flower Development, Fruit Development, Subsidy"
Indira Gandhi National Old Age Pension Scheme (Jammu and Kashmir),Jammu and Kashmir,"Launched on 15th August 1995, the ""Indira Gandhi National Old Age Pension Scheme"" is a pension scheme by the Social Welfare Department, Union Territory of Jammu and Kashmir. The scheme provides monthly financial assistance of ₹1,000/- to Below Poverty Line (BPL) individuals.","Below Poverty Line, BPL, Pension, Senior Citizen, Social Welfare"
National Family Benefit Scheme (Jammu and Kashmir),Jammu and Kashmir,"Launched on 15th August 1995, the ""National Family Assistance Scheme"" by the Department of Social Welfare, Union Territory of Jammu and Kashmir provides ₹20,000/- to ensure social security for bereaved families living below the poverty line in case of death of their breadwinner.","Below Poverty Line, Death, Family, Financial Assistance"
